Sample,X_mm,Y_mm,Theta_rad,SpdL_cps,SpdR_cps,IR_center,L_signal,R_signal,Speed_cmd,Steer_cmd
0,6.85,-0.23,-0.0439,150.0,150.0,168.0,17,9,88.6,0.00
1,25.06,-0.84,-0.0203,150.0,150.0,196.0,21,4,172.5,-8.80
2,46.20,-1.28,-0.0169,200.0,200.0,214.0,28,0,211.4,-18.40
3,69.53,-1.71,-0.0237,200.0,150.0,214.0,21,5,211.4,-17.60
4,92.85,-2.25,-0.0169,150.0,200.0,222.0,27,11,222.7,-13.20
5,117.19,-3.10,-0.0473,250.0,200.0,226.0,22,0,227.2,-16.50
6,142.53,-4.34,-0.0473,200.0,250.0,232.0,27,9,232.7,-15.73
7,168.58,-5.90,-0.0710,250.0,200.0,232.0,25,1,232.7,-18.73
8,194.32,-7.83,-0.0811,200.0,200.0,232.0,21,3,232.7,-15.48
9,220.03,-10.01,-0.0845,300.0,200.0,234.0,23,6,234.3,-13.47
10,246.33,-12.29,-0.0946,200.0,250.0,236.0,21,3,235.7,-16.17
11,273.46,-15.01,-0.1115,250.0,200.0,240.0,16,1,238.1,-12.24
12,300.13,-17.86,-0.1048,250.0,200.0,244.0,23,2,240.2,-16.66
13,326.79,-20.90,-0.1183,250.0,250.0,248.0,19,11,241.9,-4.17
