Sample,X_mm,Y_mm,Theta_rad,SpdL_cps,SpdR_cps,IR_center,L_signal,R_signal,Speed_cmd,Steer_cmd
0,27.42,-0.03,-0.0310,550.0,400.0,832,816,848,214.5,0.11
1,77.71,-3.41,-0.0896,381.0,381.0,664,580,748,165.5,1.33
2,121.50,-7.46,-0.0792,300.0,400.0,614,436,792,155.5,3.28
3,159.58,-9.73,-0.0344,300.0,350.0,552,368,736,147.0,3.67
4,192.36,-10.35,0.0069,250.0,300.0,498,364,632,125.0,2.52
5,221.01,-10.14,0.0034,238.1,285.7,506,392,620,128.5,2.20
6,248.74,-9.89,0.0207,250.0,200.0,538,436,640,134.5,1.84
7,273.40,-9.31,0.0172,238.1,190.5,560,508,612,140.0,0.86
8,298.22,-8.79,0.0241,190.5,142.9,612,580,644,153.5,0.61
9,322.57,-8.13,0.0207,227.3,181.8,690,672,708,172.5,0.32
10,347.39,-7.98,0.0069,190.5,238.1,782,764,800,195.5,0.54
11,374.51,-7.81,0.0172,200.0,250.0,760,700,820,197.0,1.37
12,396.73,-7.38,0.0207,181.8,181.8,482,460,504,124.0,0.36
