Sample,X_mm,Y_mm,Theta_rad,SpdL_cps,SpdR_cps,IR_center,L_signal,R_signal,Speed_cmd,Steer_cmd
0,1.60,0.02,0.1453,0.0,0.0,59.8,13,14,9.4,0.00
1,8.54,0.93,0.1183,150.0,150.0,86.5,15,18,8.0,0.00
2,9.85,1.08,0.1217,0.0,0.0,90.5,15,19,5.0,0.00
3,16.35,1.92,0.1318,350.0,350.0,40.8,5,14,27.7,0.00
4,59.36,7.00,0.0879,200.0,100.0,104.5,25,14,7.5,0.00
5,88.15,9.04,0.0541,350.0,300.0,86.5,27,22,15.6,0.00
6,117.59,10.04,0.0068,250.0,250.0,75.1,21,12,19.4,0.00
7,148.94,9.82,-0.0304,250.0,250.0,78.5,31,7,18.2,0.00
8,180.84,8.52,0.0406,50.0,450.0,88.5,35,9,14.2,-3.03
9,207.39,11.16,0.0980,200.0,200.0,88.1,25,17,12.9,-0.00
10,234.27,13.45,0.0811,300.0,250.0,71.5,19,3,21.4,-0.00
11,264.51,15.67,0.0541,200.0,200.0,81.1,24,17,16.5,-0.00
12,295.54,17.12,0.0304,300.0,300.0,80.5,25,5,18.1,-0.00
13,324.25,17.69,0.0068,250.0,250.0,78.5,25,13,17.9,0.00
