Sample,X_mm,Y_mm,Theta_rad,SpdL_cps,SpdR_cps,IR_center,L_signal,R_signal,Speed_cmd,Steer_cmd
0,0.15,0.00,0.0034,0.0,0.0,138.0,26,26,5.0,0.00
1,0.29,0.00,0.0068,0.0,0.0,138.0,26,26,5.0,0.00
2,0.29,0.00,0.0068,0.0,0.0,134.6,26,26,5.0,0.00
3,17.06,0.09,0.0034,350.0,350.0,76.6,17,22,20.7,0.00
4,49.72,-0.15,-0.0169,250.0,250.0,81.0,23,8,17.6,0.00
5,81.20,-1.15,-0.0642,250.0,200.0,79.0,40,10,17.9,-10.73
6,105.21,-0.85,0.1487,150.0,200.0,65.3,17,8,21.3,-0.01
7,135.46,3.87,0.1487,300.0,250.0,76.6,18,14,18.9,-0.00
8,166.20,8.34,0.1385,300.0,300.0,75.6,15,9,20.0,-0.00
9,198.49,12.15,0.1014,150.0,150.0,90.3,7,27,12.8,-0.00
10,225.36,14.52,0.0777,250.0,250.0,77.0,20,19,18.4,-0.00
11,254.17,16.37,0.0507,250.0,250.0,79.3,33,12,17.2,0.00
12,283.30,17.69,0.0304,250.0,200.0,78.0,25,13,17.9,0.00
13,312.16,18.25,0.0101,200.0,250.0,76.6,22,5,18.2,0.00
