Sample,X_mm,Y_mm,Theta_rad,SpdL_cps,SpdR_cps,IR_center,L_signal,R_signal,Speed_cmd,Steer_cmd
0,0.00,0.00,0.0000,0.0,0.0,87.8,14,15,5.0,0.00
1,0.00,0.00,0.0000,0.0,0.0,87.5,14,14,5.0,0.00
2,3.06,0.00,0.0034,200.0,200.0,38.2,4,7,24.2,0.00
3,83.06,-2.25,-0.0676,350.0,300.0,77.8,10,10,20.4,0.00
4,149.96,-8.72,-0.1250,300.0,250.0,67.8,16,8,22.4,0.00
5,218.34,-16.75,0.0406,200.0,250.0,78.2,57,17,18.5,-11.12
6,274.59,1.42,0.5914,0.0,500.0,94.2,48,60,11.2,5.62
7,337.06,14.57,-0.0101,600.0,550.0,29.5,9,8,41.1,-0.00
8,422.28,2.79,-0.2872,250.0,200.0,80.2,21,18,18.3,-0.00
9,449.35,-5.40,-0.3143,0.0,0.0,117.5,29,22,5.0,-0.00
10,449.35,-5.40,-0.3143,0.0,0.0,116.8,26,21,5.0,0.00
