Sample,X_mm,Y_mm,Theta_rad,SpdL_cps,SpdR_cps,IR_center,L_signal,R_signal,Speed_cmd,Steer_cmd
0,24.20,-0.14,-0.0344,400.0,350.0,840,836,844,226.0,1.01
1,69.34,-2.45,-0.0723,350.0,350.0,718,668,768,181.0,0.79
2,109.21,-5.55,-0.0758,300.0,300.0,678,560,796,172.0,2.23
3,144.84,-7.76,-0.0517,285.7,238.1,624,512,736,157.5,1.98
4,176.69,-8.92,-0.0310,250.0,250.0,624,512,736,154.0,1.87
5,205.95,-9.29,-0.0069,181.8,181.8,644,552,736,156.5,1.76
6,234.75,-8.81,0.0413,250.0,300.0,672,584,760,169.0,1.66
7,261.53,-7.52,0.0517,217.4,173.9,654,628,680,163.0,0.36
8,288.31,-6.17,0.0344,227.3,136.4,754,696,812,188.5,1.04
9,315.40,-4.88,0.0448,238.1,238.1,774,740,808,194.5,0.68
10,342.96,-3.84,0.0310,250.0,200.0,848,832,864,212.5,0.32
11,369.31,-3.05,0.0241,200.0,200.0,650,660,640,171.5,-0.11
12,391.52,-2.65,0.0069,181.8,136.4,404,412,396,104.5,-0.04
