Sample,X_mm,Y_mm,Theta_rad,SpdL_cps,SpdR_cps,IR_center,L_signal,R_signal,Speed_cmd,Steer_cmd
0,3.06,0.00,0.0169,0.0,0.0,46.4,11,14,13.2,0.00
1,17.64,-0.44,-0.0507,100.0,50.0,103.8,25,22,5.0,0.00
2,17.64,-0.44,-0.0507,0.0,0.0,97.1,23,20,5.0,0.00
3,26.08,-0.81,-0.0439,350.0,350.0,52.8,14,9,23.9,0.00
4,63.22,-2.67,-0.0608,250.0,300.0,79.1,22,19,17.9,0.00
5,94.51,-4.64,-0.0710,200.0,200.0,91.1,20,6,12.5,0.00
6,123.98,-7.36,-0.1081,350.0,300.0,82.8,21,19,17.5,0.00
7,149.20,-10.15,-0.1149,250.0,250.0,75.4,25,11,18.3,0.00
8,178.89,-13.61,-0.1183,300.0,300.0,78.1,12,25,18.1,0.00
9,207.69,-17.15,-0.1352,250.0,250.0,77.4,17,24,17.9,0.00
10,241.43,-22.20,-0.1622,300.0,250.0,84.8,12,35,16.3,0.00
11,267.96,-27.63,-0.3717,250.0,50.0,82.1,10,31,15.0,0.21
12,296.62,-39.60,-0.4089,300.0,250.0,80.4,16,34,18.2,0.00
13,318.93,-50.94,-0.6252,250.0,150.0,75.4,10,27,17.4,0.01
