Sample,X_mm,Y_mm,Theta_rad,SpdL_cps,SpdR_cps,IR_left,IR_center,IR_right,Speed_cmd,Steer_cmd
0,43.50,-0.59,-0.0551,818.2,681.8,820,612,1028,120.9,3.49
1,125.71,-9.66,-0.1653,600.0,450.0,324,160,488,46.2,2.74
2,177.60,-20.38,-0.2549,368.4,342.1,4508,4508,4508,0.0,0.00
3,215.48,-31.66,-0.3169,450.0,450.0,4512,4512,4512,0.0,0.04
4,250.36,-44.21,-0.3720,270.3,297.3,4506,4504,4508,0.0,0.04
5,282.44,-57.26,-0.4065,324.3,243.2,4508,4504,4512,0.0,0.00
6,309.69,-69.13,-0.4065,350.0,300.0,4510,4508,4512,0.0,0.04
7,334.49,-79.71,-0.3445,160.0,440.0,2760,1012,4508,200.0,10.00
8,368.92,-87.42,-0.1481,454.5,90.9,2606,4508,704,200.0,-10.00
9,400.07,-95.36,-0.3272,434.8,173.9,2908,4508,1308,200.0,-10.00
10,426.59,-107.25,-0.5202,375.0,125.0,2776,4512,1040,200.0,-10.00
11,451.89,-125.02,-0.6993,285.7,190.5,1814,2744,884,200.0,-10.00
12,456.15,-128.75,-0.7372,47.6,0.0,1632,2296,968,200.0,-10.00
13,458.20,-130.60,-0.7234,0.0,45.5,1644,2312,976,200.0,-10.00
