Sample,X_mm,Y_mm,Theta_rad,SpdL_cps,SpdR_cps,IR_center,L_signal,R_signal,Speed_cmd,Steer_cmd
0,0.29,-0.00,0.0000,0.0,0.0,46.5,9,11,13.2,0.00
1,12.54,-0.15,-0.0135,0.0,0.0,92.5,19,22,5.0,0.00
2,12.54,-0.15,-0.0135,0.0,0.0,92.5,20,22,5.0,0.00
3,28.58,-0.37,-0.0203,350.0,350.0,60.5,6,7,22.1,0.00
4,66.04,-1.41,-0.0372,250.0,300.0,77.2,14,22,19.2,0.00
5,95.17,-2.76,-0.0642,250.0,250.0,77.2,10,8,18.3,0.00
6,125.98,-5.17,-0.0845,250.0,200.0,94.8,23,29,11.0,0.00
7,148.36,-7.09,-0.0845,250.0,250.0,61.5,12,17,23.6,0.00
8,184.34,-10.65,-0.1656,450.0,0.0,93.5,17,42,12.7,7.61
9,209.72,-19.20,-0.3683,350.0,300.0,80.5,16,24,18.7,0.00
10,237.72,-30.47,-0.3920,200.0,200.0,74.5,10,25,19.2,0.00
11,264.10,-41.46,-0.3920,250.0,250.0,80.2,22,24,17.1,0.00
12,291.84,-53.36,-0.4089,200.0,200.0,83.5,15,38,15.5,0.00
13,318.01,-65.19,-0.4393,250.0,250.0,75.8,6,36,19.3,0.00
