Sample,X_mm,Y_mm,Theta_rad,SpdL_cps,SpdR_cps,IR_center,L_signal,R_signal,Speed_cmd,Steer_cmd
0,6.41,-0.18,-0.0473,150.0,100.0,180.0,17,0,125.0,-36.29
1,24.16,-1.31,-0.0676,200.0,150.0,218.0,20,7,217.5,-33.17
2,47.14,-2.99,-0.0743,250.0,250.0,248.0,19,3,241.9,-34.11
3,70.23,-5.04,-0.1048,200.0,200.0,264.0,15,0,246.3,-50.10
4,95.57,-8.04,-0.1352,300.0,200.0,274.0,18,7,247.7,-37.10
5,121.04,-12.19,-0.1859,300.0,200.0,290.0,16,0,249.0,-44.82
6,147.18,-17.57,-0.2163,250.0,250.0,296.0,4,0,249.2,-18.11
7,173.72,-23.83,-0.2467,250.0,200.0,300.0,19,0,249.4,-54.45
8,200.89,-31.69,-0.3075,250.0,250.0,304.0,14,0,249.5,-46.44
9,226.20,-40.56,-0.3616,250.0,200.0,304.0,15,2,249.5,-33.64
10,252.36,-50.95,-0.3987,300.0,200.0,302.0,19,2,249.4,-40.81
11,277.56,-62.10,-0.4292,300.0,200.0,304.0,11,7,249.5,-6.53
12,303.30,-74.18,-0.4528,250.0,200.0,290.0,15,4,249.0,-22.64
13,328.03,-86.65,-0.4866,200.0,250.0,246.0,4,4,241.1,-3.62
